Name,Distance_to_Past_Winner,AGE,Draft Pick,YEARS,G,GS,MPG,PTS,AST,RB,BLK,STL,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,AST/TO,PF,SOS,NAT_CH,AGE_was_nan,Draft Pick_was_nan,YEARS_was_nan,G_was_nan,GS_was_nan,MPG_was_nan,PTS_was_nan,AST_was_nan,RB_was_nan,BLK_was_nan,STL_was_nan,FG_was_nan,FGA_was_nan,FG%_was_nan,3P_was_nan,3PA_was_nan,3P%_was_nan,FT_was_nan,FTA_was_nan,FT%_was_nan,TOV_was_nan,AST/TO_was_nan,PF_was_nan,SOS_was_nan,NAT_CH_was_nan
Jaylon Tyson,17.78,21,20,3,70,61.0,28.7,13.6,2.2,5.8,0.4,1.2,5.1,10.8,0.47,1.3,3.6,0.372,2.1,2.7,0.776,2.2,1.0,1.9,8.37,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kel'el Ware,27.82,20,15,2,65,34.0,23.3,10.9,1.0,6.7,1.6,0.5,4.2,7.8,0.538,0.5,1.5,0.337,2.0,3.1,0.66,1.1,0.91,1.5,9.62,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Mogbo,29.17,22,31,4,64,62.0,26.8,11.3,2.6,8.7,1.0,1.4,4.8,7.8,0.619,0.0,0.0,0.0,1.7,2.9,0.578,1.7,1.53,2.4,-0.39,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaccharie Risacher,30.01,19,1,3,88,62.15,18.0,7.4,0.8,2.7,0.3,0.7,2.6,5.5,0.476,1.0,2.4,0.407,1.2,1.7,0.706,1.1,0.73,2.1,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tidjane Salaun,30.6,18,6,2,36,62.15,21.3,8.2,0.9,3.9,0.2,1.1,2.7,7.3,0.367,1.3,4.0,0.322,1.6,2.1,0.747,1.4,0.64,2.4,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Donovan Clingan,30.88,20,7,2,74,33.0,17.6,9.8,1.0,6.4,2.1,0.5,4.0,6.2,0.645,0.0,0.1,0.222,1.7,3.1,0.558,0.9,1.11,1.9,8.61,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Filipowski,32.43,20,32,2,72,72.0,29.8,15.8,2.2,8.6,1.1,1.2,5.7,12.0,0.473,1.0,3.3,0.314,3.4,4.7,0.718,2.3,0.96,2.8,7.9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Carter,37.12,22,13,3,96,73.0,29.0,14.1,2.7,5.9,0.8,1.5,4.7,10.5,0.447,1.4,4.2,0.338,3.3,4.6,0.723,2.1,1.29,1.8,7.95,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Dunn,37.37,21,28,2,65,34.0,20.6,5.5,0.5,5.0,1.7,0.9,2.3,4.2,0.544,0.2,0.8,0.235,0.8,1.5,0.525,0.6,0.83,1.7,6.64,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared McCain,37.44,20,16,1,36,36.0,31.6,14.3,1.9,5.0,0.1,1.1,4.9,10.5,0.462,2.4,5.8,0.414,2.1,2.4,0.885,1.3,1.46,1.6,8.36,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
