Name,AGE,Draft Pick,YEARS,G,MPG,PTS,AST,RB,BLK,STL,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,AST/TO,PF,NAT_CH,POS
Victor Wembanyama,20,1,3,68,24.9,14.8,1.6,7.7,2.4,0.6,5.4,11.5,0.467,1.1,3.9,0.287,3,3.7,0.807,2,0.8,2.1,FALSE,C
Paolo Banchero,20,1,1,39,33,17.2,3.2,7.8,0.9,1.1,6.3,13.2,0.478,1.1,3.3,0.338,3.5,4.8,0.729,2.4,1.33,1.9,FALSE,F
Scottie Barnes,20,4,1,24,24.8,10.3,4.1,4,0.5,1.5,4.1,8.1,0.503,0.5,1.7,0.275,1.7,2.8,0.621,2.5,1.64,2.2,FALSE,F
LaMelo Ball,19,3,1,12,31.3,17,6.8,7.6,0.1,1.6,6.3,16.7,0.375,1.7,6.7,0.25,2.8,3.9,0.723,2.5,2.72,2.6,FALSE,G
Ja Morant,20,2,2,65,35.3,18.7,8.2,6.1,0.6,1.4,6.1,12.6,0.485,1.3,3.8,0.343,5.1,6.3,0.81,3.8,2.16,1.7,FALSE,G
Luka Doncic,19,6,4,94,18.7,8.1,3.2,4.1,0.4,0.7,2.7,5.8,0.473,0.9,2.7,0.32,1.8,2.3,0.766,1.8,1.78,1.5,FALSE,G
Ben Simmons,21,1,1,33,34.9,19.2,4.8,11.8,0.8,2,6.5,11.7,0.56,0,0.1,0.333,6,9,0.67,3.4,1.41,2.8,FALSE,G
Malcolm Brogdon,24,36,4,136,30.6,13.3,2.5,4.1,0.2,0.9,4.4,10.3,0.43,1.4,3.7,0.365,3.1,3.5,0.876,1.5,1.67,1.8,FALSE,G
Karl-Anthony Towns,20,1,1,39,21.1,10.3,1.1,6.7,2.3,0.5,3.7,6.6,0.566,0.1,0.2,0.25,2.8,3.4,0.813,1.4,0.79,2.9,FALSE,C
Andrew Wiggins,19,1,1,35,32.8,17.1,1.5,5.9,1,1.2,5.4,12.1,0.448,1.2,3.6,0.341,5,6.5,0.775,2.3,0.65,2.7,FALSE,F
Michael Carter-Williams,22,11,2,66,25.4,8.2,5.2,3.6,0.4,2,2.7,6.8,0.398,0.6,2.1,0.307,2.2,3.2,0.679,2.3,2.26,1.8,FALSE,G
Damian Lillard,22,6,4,104,32.3,18.6,3.5,4.3,0.2,1.2,5.6,12.6,0.446,2.4,6.1,0.39,5,5.8,0.867,2.4,1.46,2.1,FALSE,G
Kyrie Irving,19,1,1,11,27.5,17.5,4.3,3.4,0.5,1.5,5,9.5,0.529,1.6,3.5,0.462,5.8,6.5,0.901,2.5,1.72,2.1,FALSE,G
Blake Griffin,21,1,2,68,30.9,18.8,2.1,11.8,1,1.1,7.1,11.5,0.618,0,0.1,0.3,4.5,7.7,0.589,2.8,0.75,2.5,FALSE,F
Tyreke Evans,20,4,1,37,29,17.1,3.9,5.4,0.8,2.1,6.2,13.6,0.455,0.9,3.4,0.274,3.7,5.2,0.711,3.6,1.08,2.4,FALSE,G
Derrick Rose,20,1,1,40,29.2,14.9,4.7,4.5,0.4,1.2,5.2,10.9,0.477,0.9,2.6,0.337,3.7,5.1,0.712,2.7,1.74,1.7,FALSE,G
Kevin Durant,19,2,1,35,35.9,25.8,1.3,11.1,1.9,1.9,8.7,18.5,0.473,2.3,5.8,0.404,6,7.3,0.816,2.8,0.46,2,FALSE,F
Brandon Roy,22,6,4,103,27.5,14.3,3,5,0.5,1,5.2,10.1,0.512,0.5,1.5,0.344,3.5,4.5,0.765,2.1,1.43,2.1,FALSE,G
Chris Paul,20,4,2,63,33.5,15,6.3,3.9,0.2,2.5,4.4,9.3,0.472,1.4,2.9,0.47,4.9,5.8,0.838,2.7,2.33,2.6,FALSE,G
Emeka Okafor,22,2,3,103,31.8,13.8,0.8,10.6,4.3,0.9,5.7,9.7,0.59,0,0,,2.4,4.3,0.564,2,0.4,2.6,TRUE,C
LeBron James,19,1,,,,,,,,,,,,,,,,,,,,,FALSE,F
Amar'e Stoudemire,20,9,,,,,,,,,,,,,,,,,,,,,FALSE,F
Pau Gasol,21,3,3,19.33,14.57,6.2,0.6,2.93,0.7,0.73,2.27,4.27,0.52,0.4,1.23,0.33,1.23,2.4,0.48,0.63,0.95,1.13,FALSE,F
Mike Miller,20,5,2,65,26.7,13.3,2.3,6,0.3,1.2,4.5,9.2,0.483,1.2,3.5,0.345,3.1,4.4,0.718,2.2,1.05,1.9,FALSE,F
Steve Francis,22,2,1,34,30.7,17,4.5,4.5,0.2,2.8,6,11.5,0.523,1.3,3.4,0.388,3.6,4.6,0.79,3,1.5,2.8,FALSE,G
Elton Brand,20,1,2,60,27.3,16.2,0.9,8.9,1.9,1.4,5.9,9.7,0.612,0,0,,4.4,6.5,0.672,1.7,0.53,2.5,FALSE,F
Vince Carter,22,5,3,103,26,12.3,1.9,4.5,0.8,1.1,4.7,8.5,0.547,1,2.6,0.368,2,2.8,0.705,1.2,1.58,1.8,FALSE,G
Tim Duncan,21,1,4,128,35.1,16.5,2.3,12.3,3.8,0.5,6.2,10.7,0.577,0.1,0.4,0.321,4.1,5.9,0.689,2.6,0.88,2.4,FALSE,F
Allen Iverson,21,1,2,67,32.5,23,4.6,3.6,0.3,3.2,7.7,17.5,0.44,1.8,5.8,0.314,5.8,8.5,0.683,4.1,1.12,2.5,FALSE,G
Damon Stoudamire,22,7,4,123,29.8,15,5.4,3.8,0.1,1.4,5,10.9,0.457,2.2,5.5,0.402,2.8,3.5,0.804,3.1,1.74,2,FALSE,G
